window_id,pl_fwd_count,pl_bwd_count,pl_len_fwd_total,pl_len_bwd_total,flow_fwd_count,flow_bwd_count,timestamp,label
57743370,[3405. 2767. 3045. 4417. 2844. 2399.],[3403. 2768. 3046. 4416. 2843. 2399.],[172815. 140461. 154603. 224224. 144339. 121774.],[325762. 265070. 291722. 422892. 272225. 229639.],[3292. 2700. 2969. 4223. 2774. 2345.],[3292. 2700. 2969. 4223. 2774. 2345.],2024-11-22 18:45:00,dns_attack
57743371,[2795. 2576. 3300. 2784. 3457. 2532.],[2795. 2576. 3302. 2784. 3457. 2533.],[141890. 130767. 167524. 141419. 175516. 128456.],[267575. 246507. 316216. 266520. 331080. 242492.],[2728. 2525. 3204. 2706. 3347. 2466.],[2728. 2525. 3204. 2706. 3347. 2466.],2024-11-22 18:45:30,dns_attack
57743372,[2375. 2906. 2895. 3131. 3350. 2477.],[2375. 2907. 2892. 3128. 3351. 2477.],[120525. 147456. 146928. 158912. 169997. 125704.],[227400. 278140. 276953. 299467. 320845. 237079.],[2324. 2827. 2827. 3034. 3249. 2420.],[2324. 2827. 2827. 3034. 3249. 2420.],2024-11-22 18:46:00,dns_attack
57743373,[3882. 2314. 2857. 2687. 3044. 3628.],[3880. 2314. 2858. 2687. 3043. 3627.],[197162. 117398. 145059. 136355. 154511. 184127.],[371570. 221528. 273630. 257270. 291395. 347291.],[3743. 2264. 2783. 2622. 2952. 3506.],[3743. 2264. 2783. 2622. 2952. 3506.],2024-11-22 18:46:30,dns_attack
57743374,[939.   0.   0.   0.   0.   0.],[939.   0.   0.   0.   0.   0.],[47602.     0.     0.     0.     0.     0.],[89857.     0.     0.     0.     0.     0.],[928.   0.   0.   0.   0.   0.],[928.   0.   0.   0.   0.   0.],2024-11-22 18:47:00,dns_attack
57734165,[0. 0. 0. 0. 0. 0.],[0. 1. 0. 1. 0. 2.],[0. 0. 0. 0. 0. 0.],[   0.  494.    0.  512.    0. 1006.],[0. 0. 0. 0. 0. 0.],[0. 1. 0. 1. 0. 1.],2024-11-19 14:02:30,dns
57734166,[0. 0. 0. 0. 0. 0.],[0. 0. 2. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[   0.    0. 1022.    0.    0.    0.],[0. 0. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 0.],2024-11-19 14:03:00,dns
57734169,[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],[0. 0. 0. 0. 0. 0.],[511.   0.   0.   0.   0.   0.],[0. 0. 0. 0. 0. 0.],[1. 0. 0. 0. 0. 0.],2024-11-19 14:04:30,dns
57734170,[0. 1. 1. 2. 0. 0.],[0. 2. 0. 0. 0. 0.],[  0.  61.  61. 111.   0.   0.],[  0. 111.   0.   0.   0.   0.],[0. 1. 1. 1. 0. 0.],[0. 1. 1. 1. 0. 0.],2024-11-19 14:05:00,dns
57734172,[0. 0. 0. 0. 0. 0.],[0. 0. 2. 0. 1. 0.],[0. 0. 0. 0. 0. 0.],[   0.    0. 1023.    0.  495.    0.],[0. 0. 0. 0. 0. 0.],[0. 0. 1. 0. 1. 0.],2024-11-19 14:06:00,dns
57734173,[0. 0. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 1.],[0. 0. 0. 0. 0. 0.],[  0.   0. 512.   0.   0. 495.],[0. 0. 0. 0. 0. 0.],[0. 0. 1. 0. 0. 1.],2024-11-19 14:06:30,dns
57680128,[0. 0. 0. 0. 0. 0.],[0. 0. 0. 1. 1. 3.],[0. 0. 0. 0. 0. 0.],[   0.    0.    0.  511.  496. 1502.],[0. 0. 0. 0. 0. 0.],[0. 0. 0. 1. 1. 2.],2024-10-31 19:44:00,dns
57680129,[0. 0. 0. 0. 0. 0.],[0. 0. 2. 2. 1. 1.],[0. 0. 0. 0. 0. 0.],[   0.    0. 1005. 1022.  494.  510.],[0. 0. 0. 0. 0. 0.],[0. 0. 2. 2. 1. 1.],2024-10-31 19:44:30,dns_attack
57680130,[0. 0. 0. 0. 0. 0.],[0. 2. 0. 3. 2. 3.],[0. 0. 0. 0. 0. 0.],[   0. 1022.    0. 1485.  990. 1486.],[0. 0. 0. 0. 0. 0.],[0. 2. 0. 2. 2. 3.],2024-10-31 19:45:00,dns_attack
57680131,[0. 0. 0. 0. 0. 0.],[1. 1. 0. 3. 0. 1.],[0. 0. 0. 0. 0. 0.],[ 495.  512.    0. 1536.    0.  496.],[0. 0. 0. 0. 0. 0.],[1. 1. 0. 2. 0. 1.],2024-10-31 19:45:30,dns
57680132,[0. 0. 0. 0. 0. 0.],[1. 6. 5. 3. 3. 1.],[0. 0. 0. 0. 0. 0.],[ 495. 3019. 2509. 1484. 1485.  512.],[0. 0. 0. 0. 0. 0.],[1. 5. 4. 2. 2. 1.],2024-10-31 19:46:00,dns_attack
57680133,[0. 0. 0. 0. 0. 0.],[1. 3. 1. 3. 3. 4.],[0. 0. 0. 0. 0. 0.],[ 495. 1482.  495. 1484. 1483. 2014.],[0. 0. 0. 0. 0. 0.],[1. 3. 1. 3. 3. 4.],2024-10-31 19:46:30,dns_attack
